,Device,Reward_Total,N_Days,Mean_Daily_Cost,DeviceID,Historic Reward,No Solar Cost,Mean Solar,Mean No Solar
28,DD34108628335,325.6289313153534,403.3333333333333,0.8073444578066613,DD34108628335,296.03252064099996,-246.82305489799998,0.7339649272090909,-0.6119579873504132
29,DD34108744929,-1214.7197754947338,401.28819444444446,-3.0270508634733915,DD34108744929,-2080.602446556,-4259.077197748,-5.184808512586445,-10.613512325336147
30,DD34108747528,-59.690042414999795,384.3333333333333,-0.1553080028143967,DD34108747528,-234.42524601099998,-2035.5328697109999,-0.6099529384501301,-5.296269392136167
31,DD34108848768,162.64771066170616,328.53125,0.4950753106795964,DD34108848768,-39.88681894499998,-557.19383826,-0.12140951262627217,-1.696014726939979
32,DD44108397240,-123.77099520696737,457.35069444444446,-0.2706260134956505,DD44108397240,-542.4566891329999,-1237.348951382,-1.1860847610430238,-2.705470804816508
33,DD44108398872,-2119.713781819009,453.4479166666667,-4.674657670502053,DD44108398872,-2929.9569997709996,-3719.54137989,-6.461507247203509,-8.202797373582964
34,DD44108399262,123.62422007966588,465.40972222222223,0.26562448994273097,DD44108399262,-274.854908709,-1032.398789717,-0.590565464332443,-2.218257892825139
35,DD44108411547,241.92787270027645,439.40972222222223,0.5505746925142602,DD44108411547,-36.753032336999986,-653.6036815269999,-0.08364182783924137,-1.4874583981017462
36,DD44108624400,137.594611417803,356.5173611111111,0.38594084447663324,DD44108624400,-99.629022548,-719.739550636,-0.2794506899678019,-2.018806456978369
37,DD44108624580,10.742001549675546,472.47222222222223,0.022735731423853232,DD44108624580,-857.4968190689999,-2794.1005045839997,-1.8149147796157326,-5.913787886708448
38,DD44108625545,22.737814457856835,382.28819444444446,0.059478202016937196,DD44108625545,-337.372504007,-1107.9350275529998,-0.8825082984769707,-2.898166994570922
39,DD44108625594,-401.7395898621314,360.3611111111111,-1.1148250393152495,DD44108625594,-616.7491316039999,-1008.662090771,-1.711475274627611,-2.7990314705739614
40,DD44108625704,110.01870531764793,349.43402777777777,0.31484828772203666,DD44108625704,-134.15629539799997,-548.519516578,-0.3839245314807078,-1.5697369831618986
41,DD44108744903,294.3482368300291,480.37847222222223,0.6127423559769017,DD44108744903,200.15082805100002,-393.291892614,0.41665236813195616,-0.8187125680187931
42,DD44108746880,-798.5962642107081,473.55902777777777,-1.6863711118721556,DD44108746880,-1499.8848757409999,-3859.5573979439996,-3.1672606533959597,-8.150108374145777
43,DD44108746900,20.796831142698498,384.39930555555554,0.05410215586274732,DD44108746900,-345.84114569499997,-826.8916904299999,-0.8996924310130343,-2.1511269101668367
44,DD44108746987,-302.71187465642436,400.5798611111111,-0.7556842069313601,DD44108746987,-1136.5508630079999,-2708.648575329,-2.837264109722052,-6.761819148411175
45,DD44108747374,18.272021081172284,443.2673611111111,0.04122121925550965,DD44108747374,-706.615084026,-1946.766560442,-1.5941058287142353,-4.391856317961602
